Title,Location,Land Area,No of Beds,No. of Baths,Price
Ideal House For sale In Naval Anchorage - Block G,"Naval Anchorage - Block G, Naval Anchorage",5 Marla,4,4,2.3 Crore
Ready To Buy A House 5 Marla In Islamabad,"Naval Anchorage - Block G, Naval Anchorage",5 Marla,4,4,2.4 Crore
Get In Touch Now To Buy A House In Islamabad,"Naval Anchorage - Block G, Naval Anchorage",5 Marla,4,4,2.35 Crore
This Is Your Chance To Buy House In Islamabad,"Naval Anchorage - Block G, Naval Anchorage",5 Marla,4,4,2.45 Crore
1 Kanal New Beautiful House For Sale In D H A Islamabad,"DHA Defence Phase 2, DHA Defence",1 Kanal,6,6,9 Crore
Prime Location House For Sale In Dha Phase1 Sec D,"DHA Phase 1 - Sector D, DHA Defence Phase 1",1 Kanal,6,6,12 Crore
Extraordinary Finished 1 kanal House In Dha,"DHA Defence Phase 2, DHA Defence",1 Kanal,6,6,12 Crore
Luxurious 20 Marla Designer House On Prime Location,"DHA Defence Phase 2, DHA Defence",1 Kanal,6,6,11.9 Crore
1800 Square Feet House For sale In Beautiful Faisal Town Phase 1 - Block A,"Faisal Town Phase 1 - Block A, Faisal Town Phase 1",8 Marla,5,5,3.25 Crore
1 Kanal luxurious house for sale in very reasonable price,"DHA Phase 2 - Sector A, DHA Defence Phase 2",1 Kanal,6,6,8.3 Crore
7 Marla Full Finished House,"Gulshan-e-Sehat 1 - Block D, Gulshan-e-Sehat 1",7 Marla,6,6,2.1 Crore
House For sale In Islamabad,"E-11/4, E-11",6.7 Marla,4,4,4.5 Crore
10 Marla House For Sale On Urgent Bases On (investor Rate) In Dha,"DHA Defence Phase 2, DHA Defence",10 Marla,5,6,4 Crore
G13 Islamabad House 40x80 Brand New Precious Square Feet Spacious House Available In G-13 For sale,"G-13, Islamabad",14.2 Marla,7,6,8.95 Crore
Park Facing 22 Marla 6 Bed Bungalow Double Unit Near Gate 8 Islamabad Highway Available For Sale Dha Phase 2 Islamabad,"DHA Phase 2 - Sector D, DHA Defence Phase 2",1.1 Kanal,6,6,8.5 Crore
Excellent Location Two Side Open Green House Is Available,"Bahria Garden City - Zone 1, Bahria Garden City",1.8 Kanal,5,6,15 Crore
"5 Marla Single Story For Sale in Ghauri Town Phase 4B, Islamabad","Ghauri Town Phase 4B, Ghauri Town",5 Marla,3,3,1 Crore
"End Your Search For Good Location House In Islamabad 
4 Marle 3 Storey House At Highly Affordable Price. . . Near To kashmir Highway","H-13, Islamabad",4 Marla,5,5,1.55 Crore
5 Marla Single Storey House Good Location,"H-13, Islamabad",5 Marla,3,3,80 Lakh
5 Marla Single Storey House Good Location,"H-13, Islamabad",5 Marla,3,3,80 Lakh
10 Marla Brand New House For Sale In Bahria Enclave Islamabad Sector A,"Bahria Enclave - Sector A, Bahria Enclave",10 Marla,5,6,4.85 Crore
Buy 5 Marla House At Highly Affordable Price,"Naval Anchorage - Block G, Naval Anchorage",5 Marla,4,4,2.5 Crore
5 Marla House Is Available For sale,"Naval Anchorage - Block G, Naval Anchorage",5 Marla,4,4,2.35 Crore
House For sale In Islamabad,"Naval Anchorage - Block G, Naval Anchorage",5 Marla,4,4,2.4 Crore
A House Of 5 Marla In Islamabad,"Naval Anchorage - Block G, Naval Anchorage",5 Marla,4,4,2.45 Crore
Ideal House Is Available For sale In Islamabad,"Naval Anchorage - Block G, Naval Anchorage",5 Marla,4,4,2.25 Crore
"Ideal 5 Marla House Available In Naval Anchorage - Block G, Islamabad","Naval Anchorage - Block G, Naval Anchorage",5 Marla,4,4,2.3 Crore
Well-constructed House Available For sale In Naval Anchorage - Block G,"Naval Anchorage - Block G, Naval Anchorage",5 Marla,4,4,2.25 Crore
"A House Of 5 Marla In Rs. 22,000,000","Naval Anchorage - Block G, Naval Anchorage",5 Marla,4,4,2.2 Crore
"15 Marla Brand New House For Sale In Start Of Sector A, Bahria Enclave Islamabad","Bahria Enclave - Sector A, Bahria Enclave",15 Marla,7,6,7.5 Crore
