Title,Location,Land Area,No of Beds,No. of Baths,Price
4 Marla Brand New House For Sale,"Ghauri Town Phase 4A, Ghauri Town",4 Marla,2,3,1 Crore
10 Marla House For Sale in Bahria Enclave,"Bahria Enclave, Bahria Town",10 Marla,5,6,4.5 Crore
13 Marla Corner Category House For Sale,"Bahria Enclave, Bahria Town",15 Marla,5,6,5.25 Crore
Prime Location 8 Marla House In Stunning D-12/1 Is Available For sale,"D-12/1, D-12",8 Marla,6,5,7.5 Crore
Get In Touch Now To Buy A 1 Kanal House In Naval Anchorage Naval Anchorage,"Naval Anchorage, Islamabad",1 Kanal,7,7,8.25 Crore
7 Marla House For sale In Islamabad,"G-15/1, G-15",7 Marla,6,7,2.9 Crore
Get Your Hands On House In Islamabad Best Area,"G-15/1, G-15",12 Marla,7,8,4.7 Crore
Gorgeous Prime Location 4 Marla House For Sale Available In G-13/1,"G-13/1, G-13",4 Marla,4,5,3.4 Crore
In Islamabad You Can Find The Perfect Prime Location House For sale,"G-13/4, G-13",4 Marla,4,5,3.4 Crore
Prime Location 1800 Square Feet House For Grabs In G-13,"G-13/2, G-13",8 Marla,5,6,5.25 Crore
A Perfect Prime Location House Awaits You In G-13/4 Islamabad,"G-13/4, G-13",1 Kanal,6,8,12.9 Crore
Corner Barend New House Urgent For Sale Best Location In G-15,"G-15/1, G-15",14 Marla,7,6,5 Crore
"Beautiful house for sale multi one size 1 kana
beautiful location","E-11, Islamabad",1 Kanal,7,6,12.5 Crore
"F-7,500 Sq. Yard Beautiful House On Most Prime Location Available For Sale","F-7, Islamabad",1 Kanal,5,6,25 Crore
Beautiful Luxury Villa For Sale,"Eighteen, Kashmir Highway",10 Marla,5,5,5.5 Crore
i-8 Main location house for sale,"I-8, Islamabad",14.2 Marla,6,6,8.5 Crore
House for sale,"G-13/3, G-13",10 Marla,7,,5.3 Crore
G-13 35x70 Brand New House For Sale,"G-13, Islamabad",10 Marla,6,6,6 Crore
G-13 Kanal Corner Luxury House for Sale,"G-13, Islamabad",1 Kanal,9,6,11.5 Crore
House For Sale,"G-13/2, G-13",8 Marla,4,4,4.5 Crore
Kanal Brand New House For Sale In Dha Phase 2 Islamabad,"DHA Phase 2 - Sector G, DHA Defence Phase 2",1 Kanal,6,6,8.85 Crore
Kanal Brand New House Available For Sale In Dha Phase 2 Islamabad,"DHA Phase 2 - Sector G, DHA Defence Phase 2",1 Kanal,6,6,8.75 Crore
1Kanal Fabulous Design Corner Bungalow Up For sale,"DHA Defence Phase 2, DHA Defence",1 Kanal,5,6,8.5 Crore
DESIGNER 10 MARLA BRAND NEW DOUBLE STORY HOUSE FOR SALE,"Soan Garden - Block H, Soan Garden",10 Marla,7,6,3.6 Crore
f. 8/3 front open old house close to market neat n clean deal,"F-8/3, F-8",1 Kanal,4,5,20 Crore
f. 7/4 corner house 2 kanal park face prime location cda transsfer,"F-7/4, F-7",2 Kanal,7,6,44 Crore
Brand New 10 Marla Park face House Available for Sale,"Bahria Enclave - Sector A, Bahria Enclave",10 Marla,5,6,5.25 Crore
House For Sale In F8,"F-8, Islamabad",2 Kanal,7,6,51.5 Crore
05 Marla beautiful double story house available in Pwd block-D near ISB highway,"PWD Housing Society - Block D, PWD Housing Scheme",5 Marla,5,5,2.2 Crore
12 Marla beautiful double story house in Pwd Block-B near commercial,"PWD Housing Society - Block B, PWD Housing Scheme",12 Marla,7,6,4.15 Crore
10 Marla Brand New Luxury Houses For Sale,"Bahria Enclave, Bahria Town",10 Marla,5,6,5 Crore
25x40 HOUSE Available For Sale In G13 Islamabad,"G-13, Islamabad",4.4 Marla,5,5,2.8 Crore
4 Marla Brand New Luxury Beautiful House Available For Sale D-12 In Islamabad,"D-12, Islamabad",4 Marla,3,4,4.2 Crore
30*60 House For Sale,"G-13/2, G-13",8 Marla,7,,4.5 Crore
An Architect Designed 25x50 Feet House In D-12 1 For Sale,"D-12/1, D-12",5.6 Marla,5,5,4.95 Crore
6 Marla New House For Sale,"Soan Garden - Block H, Soan Garden",6 Marla,5,6,2.45 Crore
8 Marla House For Sale In Faisal Town Block A,"Faisal Town - F-18, Islamabad",8 Marla,2,2,2.9 Crore
6 Bedroom Double Unit Used House For Sale In Sector G Dha Phase 2 Islamabad:,"DHA Phase 2 - Sector G, DHA Defence Phase 2",1 Kanal,6,6,7 Crore
LUXURY BRAND NEW KANAL DOUBLE UNIT 8 BED BASEMENT HOUSE WITH A+ QUALITY.,"DHA Defence Phase 2, DHA Defence",1 Kanal,8,6,11 Crore
LUXURY 1 KANAL DOUBLE UNIT 6 BED HOUSE WITH A+ QUALITY.,"DHA Defence Phase 2, DHA Defence",1 Kanal,6,6,7 Crore
Brand New 1 kanal House 4 Marla Extra Land,"DHA Phase 1 - Sector C, DHA Defence Phase 1",1.2 Kanal,7,6,8.75 Crore
Bahria enclave sector N,"Bahria Enclave - Sector N, Bahria Enclave",5 Marla,3,3,2.1 Crore
Demolish Able House For Sale In F-7 Islamabad,"F-7, Islamabad",2.1 Kanal,6,6,47 Crore
10Marla Brand New Designer House For Sale in Bahria Enclave Islamabad,"Bahria Enclave - Sector C2, Bahria Enclave",10 Marla,5,5,5 Crore
8 MARLA HOUSE FOR SALE F-17 CDA SECTOR,"F-17, Islamabad",8 Marla,5,6,2.05 Crore
F-7 House for Sale.,"F-7, Islamabad",1.3 Kanal,7,6,37 Crore
beautiful house 1 and a half storey,"Naval Anchorage, Islamabad",1 Kanal,5,6,5.75 Crore
THREE  UNIT HOUSE FOR SALE IN G11,"G-11, Islamabad",1 Kanal,9,6,16 Crore
House For Sale On main Double Road,"D-12, Islamabad",14 Marla,8,6,15.5 Crore
10 Marla House available for sale in dha phase 2,"DHA Defence Phase 2, DHA Defence",10 Marla,5,5,4.7 Crore
Beautiful house in B-17,"MPCHS - Block C1, MPCHS - Multi Gardens",8 Marla,3,2,2.9 Crore
Brand new house for sale in G 10,"G-10, Islamabad",10 Marla,5,5,9 Crore
Out Class Location Double Story House For Sale In I-10 Neat Clean,"I-10, Islamabad",6 Marla,4,4,3.1 Crore
6 Bedroom Brand New Double Unit House For Sale In Sector C Dha Phase 2 Islamabad,"DHA Phase 2 - Sector C, DHA Defence Phase 2",1 Kanal,6,6,9 Crore
5 Marla Double Storey House,"Naval Anchorage - Block G, Naval Anchorage",5.5 Marla,4,4,2.35 Crore
House Of 6 Marla Is Available For sale,"Shah Allah Ditta, Islamabad",6 Marla,4,4,2.2 Crore
House for Sale G Block 5m brand new double story naval anchorage islamabad,"Naval Anchorage - Block G, Naval Anchorage",5 Marla,4,4,2.5 Crore
A Stunning Brand New 5 Marla House Is Up For Grabs In Lilly Sector - Dha Valley Islamabad,"DHA Valley - Lilly Sector, DHA Valley",5 Marla,2,2,75 Lakh
Buying A House In G-15 G-15?,"G-15, Islamabad",8 Marla,,,2.9 Crore
5 Marla Semi Double Storey New House,"Bani Gala, Islamabad",5 Marla,3,4,1.25 Crore
Sector H 5 Marla House For Sale In Bahria Enclave Islamabad.,"Bahria Enclave - Sector H, Bahria Enclave",5 Marla,3,4,2.15 Crore
25x40 - 4 Marla Brand new House For Sale In G13 at best location (50 feet Street),"G-13/1, G-13",4 Marla,4,5,3.3 Crore
8-Marla Royal Class Spanish Design Villa with Elegant Elevation Available Installments,"F-17, Islamabad",8 Marla,5,5,2.99 Crore
luxury brand new kanal park facing house at prime location,"DHA Defence Phase 2, DHA Defence",1 Kanal,6,6,8.5 Crore
LUXURY BRAND NEW KANAL DOUBLE UNIT 6 BED HOUSE WITH A+ QUALITY.,"DHA Defence Phase 2, DHA Defence",1 Kanal,6,6,8.5 Crore
8 Marla Brand New House For Sale F-17 Cda Sector,"F-17, Islamabad",8 Marla,5,6,2.38 Crore
10 MARLA HOUSE FOR SALE F-17 CDA SECTOR,"F-17, Islamabad",10 Marla,6,6,2.55 Crore
8 MARLA GREY STRUCTURE HOUSE FOR SALE F-17 CDA SECTOR,"F-17, Islamabad",8 Marla,5,6,1.61 Crore
14 MARLA New Grey Structure House for Sale In Zaraj Housing Scheme Islamabad,"Zaraj Housing Scheme, Islamabad",14 Marla,4,5,3.5 Crore
12 Marla Luxury Brand New Designer House For Sale,"Zaraj Scheme - Sector A, Zaraj Housing Scheme",12 Marla,6,5,4.8 Crore
i-8/2 old house for sale,"I-8/2, I-8",14.2 Marla,6,6,9.6 Crore
i-8 brand new condition 35*80,"I-8, Islamabad",12.4 Marla,8,6,10.5 Crore
I-8/4 live able 600 yards,"I-8, Islamabad",1.2 Kanal,6,6,12.75 Crore
I-8 Triple storey house,"I-8, Islamabad",14.2 Marla,8,6,12.25 Crore
i-8/3 main location 40*80 house,"I-8, Islamabad",14.2 Marla,6,6,11.6 Crore
i-8/2 live able 40*80 house,"I-8, Islamabad",14.2 Marla,6,6,10.75 Crore
G-13 Brand New House For Sale Size 25*40,"G-13, Islamabad",4 Marla,4,4,3.4 Crore
Gulberg Residencia Islamabad House No. 438 St No. 20 Block F Size 30x60 three Storey Smart Build Modern House 5 Bed Rooms 6 Washrooms 2 Drawing and Dinning 2 Stores Upper,"Gulberg Residencia - Block F, Gulberg Residencia",8 Marla,5,6,4.45 Crore
8-marla Royal Class Spanish Design Villa With Elegant Elevation Available For Sale On Installments,"F-17, Islamabad",8 Marla,5,6,2.8 Crore
In G-13 House Sized 10 Marla For sale,"G-13, Islamabad",10 Marla,6,7,7.2 Crore
Looking For A House In D-12 D-12,"D-12, Islamabad",5 Marla,4,4,4.5 Crore
Brand New Luxury 8 Marla Designer House,"Faisal Town - F-18, Islamabad",8 Marla,6,6,2.9 Crore
Kanal Stylish Brand New House For Sale In Dha Phase 2 Islamabad,"DHA Phase 2 - Sector F, DHA Defence Phase 2",1 Kanal,6,6,12 Crore
One Kanal Brand New Sun Facing House For Sale In G-13,"G-13, Islamabad",1 Kanal,6,6,12.9 Crore
Main Double Road Proper Corner 35x70 Brand New House For Sale In G13,"G-13, Islamabad",10.9 Marla,6,6,8.25 Crore
25x40 Brand New Sun Face House For Sale In G-13,"G-13, Islamabad",4.4 Marla,4,5,3.25 Crore
40x80 Brand New House For Sale In G13,"G-13, Islamabad",14.2 Marla,6,6,8.75 Crore
40x80 Brand New House For Sale In G13,"G-13, Islamabad",14.2 Marla,7,6,8.5 Crore
5994 Square Feet House In F-8 For Sale At Good Location,"F-8, Islamabad",1.3 Kanal,8,6,27 Crore
F7 622 Square Yard Livable House 7 Beds With Attached Bathroom Drawing And Dining Tv Lounge Kitchen Servant Quarter,"F-7, Islamabad",1.2 Kanal,7,6,30 Crore
8 Marla Brand New Vip House Available For Sell In Bahria Enclave Islamabad,"Bahria Enclave, Bahria Town",8 Marla,5,5,3.4 Crore
One Kanal Beautiful House Is Available For Sell In Bahria Enclave Islamabad,"Bahria Enclave, Bahria Town",1 Kanal,6,6,9 Crore
10 Marla Used House Available For Sell In Bahria Enclave Islamabad,"Bahria Enclave, Bahria Town",10 Marla,5,5,4 Crore
LUXURY BRAND NEW HOUSE AVAILABLE 5 MARLA,"Bahria Enclave, Bahria Town",5 Marla,3,4,2.45 Crore
BRAND NEW HOUSE 05 MARLA FOR SALE SECTOR H,"Bahria Enclave - Sector H, Bahria Enclave",5 Marla,3,4,2.45 Crore
Bahria Enclave Islamabad Sector C1 10 Marla Beautiful House For Sale,"Bahria Enclave - Sector C1, Bahria Enclave",10 Marla,5,6,3.9 Crore
5 Marla Brand New House Is Available For Sale In Bahria Enclave Sector N,"Bahria Enclave - Sector N, Bahria Enclave",5 Marla,3,4,2.1 Crore
10 Marla Unique Designed House In Top Notch Society Bahria Enclave,"Bahria Enclave - Sector J, Bahria Enclave",10 Marla,5,6,4 Crore
Ideally Located House For sale In F-11/3 Available,"F-11/3, F-11",1.3 Kanal,5,5,16.5 Crore
A Good Option For sale Is The House Available In F-11/3 In Islamabad,"F-11/3, F-11",1.3 Kanal,,,23 Crore
This Is Your Chance To Buy House In Islamabad,"F-11/3, F-11",1.3 Kanal,5,5,16.5 Crore
House In F-11/3 For sale,"F-11/3, F-11",1.3 Kanal,,,23 Crore
Reserve A Centrally Located House Of 666 Square Yards In F-11/3,"F-11/3, F-11",1.3 Kanal,5,5,16.5 Crore
Sun Face 25x40 Brand New House For Sale In G13,"G-13, Islamabad",4.4 Marla,4,5,3.4 Crore
LUXURIOUS KANAL BRAND NEW DOUBLE STORY HOUSE FOR SALE,"DHA Phase 2 - Sector F, DHA Defence Phase 2",1 Kanal,5,6,12 Crore
08 Marla Dha homes in DHA Valley Islamabad,"DHA Homes, DHA Valley",8 Marla,3,4,1.45 Crore
05 Marla house Oleander block Ready to live,"DHA Homes, DHA Valley",5 Marla,2,2,65 Lakh
"2 Kanal Villa for Sale in EIGHTEEN, A Premium Golf Community","Eighteen, Kashmir Highway",2 Kanal,5,6,24.32 Crore
12 Marla Designer Corner House For Sale,"MPCHS - Block C, MPCHS - Multi Gardens",12.4 Marla,5,6,5.65 Crore
double story Reail picture five options,"G-15/4, G-15",1 Kanal,6,6,6.65 Crore
12 Marla House In Central Shalimar Town For sale,"Shalimar Town, Islamabad",12 Marla,6,6,4 Crore
30x70 full house for sale,"D-17, Islamabad",10 Marla,,,3.5 Crore
Emaar Canyon Views 5 Bedroom Villa for sale,"Emaar Canyon Views, Islamabad",1.2 Kanal,5,5,6.35 Crore
Livable Cda Transfer House Is For Sale,"F-8, Islamabad",1.2 Kanal,5,6,25 Crore
CDA Transfer 888 SqYd Livable House is for SALE,"F-8, Islamabad",1.8 Kanal,4,5,28.5 Crore
Royalview Villa For Sale 05 Marla Sector H,"Bahria Enclave - Sector H, Bahria Enclave",5 Marla,3,4,2.45 Crore
Triple Storey House Available For Sale In E-11 On Main Double Road Islamabad,"E-11/4, E-11",1 Kanal,9,6,16 Crore
"10 Marla Brand New Designer House Sector A, Bahria Enclave Islamabad For Sale","Bahria Enclave - Sector A, Bahria Enclave",10 Marla,5,6,4.8 Crore
Brand New Modern Luxury 30 X 60 House For Sale In G-13 Islamabad,"G-13, Islamabad",8 Marla,5,6,5.25 Crore
"House For Sale In Lake View Lanes Bani Gala Lake View Lanes, Bani Gala, Islamabad Capital","Lake View Lanes, Bani Gala",9 Marla,4,4,3.76 Crore
House For sale In F-11/3 Islamabad,"F-11/3, F-11",1.3 Kanal,,,23 Crore
"One Kanal Luxurious House for Sale in DHA Phase 2 , Islamabad","DHA Defence Phase 2, DHA Defence",1 Kanal,6,6,10.85 Crore
Prime Location House Of 5.5 Marla In DHA Defence Phase 2 Is Available For Sale,"DHA Defence Phase 2, DHA Defence",5.5 Marla,4,4,3.5 Crore
Prime Location 5 Marla House Available For Sale In D-12 Islamabad,"D-12, Islamabad",5 Marla,4,4,5.25 Crore
Centrally Located House In G-13/2 Is Available For sale,"G-13/2, G-13",14.2 Marla,6,6,9.25 Crore
2 Kanal House Available For sale In F-11/4,"F-11/4, F-11",2 Kanal,,,25 Crore
House For Sale Pwd Block C,"PWD Housing Society - Block C, PWD Housing Scheme",9.3 Marla,5,6,3.7 Crore
2 Kanal House In F-7/4 Is Available,"F-7/4, F-7",2 Kanal,7,7,30 Crore
5 Marla Brand New House For Sale In Banigala,"Bani Gala, Islamabad",5 Marla,4,6,1.45 Crore
7marla Brand New house for sale in J Block,"Gulberg Residencia - Block J, Gulberg Residencia",8 Marla,4,6,4.25 Crore
50x80 House At Main Road,"G-10/2, G-10",17.8 Marla,6,6,13 Crore
Designer House 8 Marla 30x60 Quality Finishing,"Jinnah Gardens, FECHS",8 Marla,4,4,2.5 Crore
Brand New Luxury House On Extremely prime Location Available For sale in Islamabad Pakistan,"F-7, Islamabad",1.3 Kanal,7,6,32 Crore
Gorgeous 5 Marla House For sale Available In Naval Anchorage,"Naval Anchorage, Islamabad",5 Marla,5,5,2.25 Crore
Main Double Road Corner House For Sale.,"G-8, Islamabad",11 Marla,4,3,10.5 Crore
7 Marla Brand New House For Sale,"B-17, Islamabad",7 Marla,4,6,2.65 Crore
Spacious Corner 10 Marla House Available For sale In G-10/1,"G-10/1, G-10",10 Marla,7,6,9.5 Crore
BRAND NEW CORNER HOUSE,"G-10/1, G-10",10 Marla,7,6,9.5 Crore
2 Kanal Lavish Fully Furnished House For Sale In Bahria Garden City Zone 1,"Bahria Garden City - Zone 1, Bahria Garden City",2 Kanal,5,6,16 Crore
This Is Your Chance To Buy House In F-7,"F-7, Islamabad",1.2 Kanal,6,6,26.8 Crore
DESIGNER KANAL BRAND NEW DOUBLE STORY HOUSE FOR SALE,"Soan Garden - Block F, Soan Garden",1 Kanal,9,6,6 Crore
Luxurious Newly Built 1 Kanal House For Sale At Peaceful Location Of Dha Phase 2,"DHA Phase 2 - Sector F, DHA Defence Phase 2",1 Kanal,5,6,8.5 Crore
For sale,"E-11/3, E-11",1 Kanal,,,18 Crore
25x40 Brand New House For Sale In G-13,"G-13, Islamabad",4.4 Marla,3,3,3.2 Crore
Brand New 10 Marla House Very Near To Sri Nagar Highway For Sale,"H-13, Islamabad",10 Marla,8,,4.8 Crore
House For Sale Saon Garden Block H,"Soan Garden - Block H, Soan Garden",6.7 Marla,4,6,2.35 Crore
House For Sale Jinnah Garden Phase 1,"Jinnah Gardens Phase 1, Jinnah Gardens",7 Marla,4,6,2.9 Crore
House For Sale Jinnah Garden Phase1,"Jinnah Gardens, FECHS",8 Marla,4,6,2.75 Crore
House For Sale In Soan Garden Block A,"Soan Garden - Block A, Soan Garden",10 Marla,6,6,4.25 Crore
House For Sale In Jinnah Garden Phase 1,"Jinnah Gardens Phase 1, Jinnah Gardens",8 Marla,4,,3.1 Crore
House For Sale In Jinnah Garden Phase 1,"Jinnah Gardens Phase 1, Jinnah Gardens",8 Marla,8,,3.7 Crore
House For Sale In Korang Town,"Korang Town, Islamabad",6.7 Marla,5,6,2.75 Crore
35x70 Brand New Luxure House For Sale,"G-13/3, G-13",10 Marla,7,6,6.95 Crore
House Available For Sale In G/13.,"G-13/2, G-13",14.2 Marla,7,6,9 Crore
Double Storey House For Sale,"CBR Town, Islamabad",12 Marla,7,6,4.7 Crore
Basment House Sector A 10 Marla,"Bahria Enclave, Bahria Town",10 Marla,8,6,4.5 Crore
1 Kanal Brand New Mediterranean Style Designer House is Available for Sale in D12,"D-12, Islamabad",1 Kanal,8,6,18.5 Crore
EMAAR CANYON'S VIEWS 7 BEDROOMS VILLA FULLY EQUIPPED FOR SALE IN ISLAMABAD,"Emaar Canyon Views, Islamabad",2 Kanal,,,12.5 Crore
Emaar 11 Marla Brand New Town House With Back Open For Sale,"Alma Townhomes, Emaar Canyon Views",11 Marla,3,4,3.6 Crore
Prime Location 4 Marla House In G-13/4 Best Option,"G-13/4, G-13",4 Marla,4,5,3 Crore
Well-constructed House Available For sale In G-13/1,"G-13/1, G-13",4 Marla,4,4,2.65 Crore
LUXURIOUS KANAL BRAND NEW DOUBLE STORY HOUSE FOR SALE,"Soan Garden - Block F, Soan Garden",1 Kanal,7,6,5.9 Crore
Sector N 8 Marla Corner House For Sale,"Bahria Enclave - Sector N, Bahria Enclave",8 Marla,4,4,3.1 Crore
Beautiful 12 Bedrooms Corner House is for SALE,"F-7, Islamabad",2 Kanal,11,6,45 Crore
One Kanal House For Sale At Prime Location,"DHA Defence Phase 2, DHA Defence",1 Kanal,6,6,7.95 Crore
14 MARLA BRAND NEW BEAUTIFUL & MODERN HOUSE FOR SALE IN ISLAMABAD,"G-13, Islamabad",14 Marla,6,6,8.75 Crore
Architect Designed Luxury House Ideal Location Sector D-12 for Sale,"D-12, Islamabad",10.9 Marla,6,6,11 Crore
1 Kanal Double Unit House For Sale in D-17 Block A Islamabad.,"Margalla View Society - Block A, Margalla View Housing Society",1 Kanal,6,6,5 Crore
6 Marla Double Unit House For Sale,"Soan Garden - Block H, Soan Garden",6 Marla,4,4,2.1 Crore
Sns Solutions Presents Owner Built Solid Constructed Dream Home,"DHA Defence Phase 2, DHA Defence",10 Marla,5,5,5.25 Crore
50x90 Trippul Story House for sale,"G-13, Islamabad",1 Kanal,10,6,11.2 Crore
35x80 Triple Storey House For Sale Near Shifa,"I-8, Islamabad",12 Marla,9,6,9.5 Crore
35x80 Triple Storey Livable House Near Shifa,"I-8/2, I-8",12.4 Marla,9,6,11.25 Crore
35x80 Double Storey Sun Face Near Kachnar Park,"I-8/3, I-8",12 Marla,6,6,10 Crore
35x80 Double Storey Livable House Near Kachnar Park,"I-8/3, I-8",12 Marla,6,6,11 Crore
35x80 Double Storey Corner House Adjacent To Park In I-8 3,"I-8/3, I-8",12 Marla,6,6,11.5 Crore
35x80 Triple Storey House For Sale Near Shifa,"I-8, Islamabad",12.4 Marla,9,6,9.5 Crore
Large House At Great Location,"Bhara kahu, Islamabad",10 Marla,7,6,1.78 Crore
OWN DOUBLE UNIT HOUSE FOR SALE IN GOOD LOCATION NEAR MARKET,"G-13/1, G-13",4 Marla,5,5,2.7 Crore
Ideal House For sale In DHA Defence Phase 2,"DHA Defence Phase 2, DHA Defence",1 Kanal,6,6,11.5 Crore
14 Marla House Is Available For sale In G-13/4,"G-13/4, G-13",14 Marla,7,7,8.7 Crore
Brand New 30 X 60 8 Marla House Is Available For Sale In G-13,"G-13, Islamabad",8 Marla,5,6,5.25 Crore
Prime Location 4 Marla House For sale In D-12/1 Islamabad,"D-12/1, D-12",4 Marla,4,5,4.1 Crore
"5 Marla Beautiful House For Sale In B-block, Park View City Islamabad","Park View - Block B, Park View City",5 Marla,4,6,2.15 Crore
"ideal location, 1200 Sq Yd, 5 Bedroom House with B, price very reasonable.","E-7, Islamabad",2.4 Kanal,5,5,60 Crore
Prime Location excellent Modern house available for sale ideal for good investment-,"F-8, Islamabad",1.8 Kanal,5,6,45 Crore
"Your Perfect Oasis: Spacious And Elegant 10 Marla House In G-10/1, Islamabad","G-10/1, G-10",10 Marla,7,6,9.4 Crore
Corner Beautiful House For Sale 5 Marla,"Malot, Islamabad",5 Marla,3,3,98 Lakh
Elegant 10 Marla House In Soan Garden,"Soan Garden, Islamabad",10 Marla,6,6,3.6 Crore
Incredible 1 Kanal House For Sale In Dha,"DHA Defence Phase 2, DHA Defence",1 Kanal,6,6,8.7 Crore
BRAND NEW BEAUTIFUL HOUSE FOR SALE,"Tele Garden (T&T ECHS), F-17",9.6 Marla,5,6,2.5 Crore
5 MARLA BEAUTIFUL HOUSE FOR SALE IN F-18,"Faisal Town - F-18, Islamabad",5 Marla,5,6,1.8 Crore
8 MARLA BRAND NEW DOUBLE STORY HOUSE FOR SALE,"CBR Town Phase 1, CBR Town",8 Marla,5,6,3.6 Crore
Beautiful and Luxury's House,"MPCHS - Multi Gardens, B-17",10 Marla,6,6,4.5 Crore
House For Sale In Mpchs - Block F,"MPCHS - Block F, MPCHS - Multi Gardens",1.2 Kanal,,,3.25 Crore
5 marla brand new desinger house availbe for sale Bahria enclave islamabad,"Bahria Enclave - Sector B1, Bahria Enclave",5 Marla,3,3,2.5 Crore
1 Kanal House Available For Sale In Dha Phase 2,"DHA Defence Phase 2, DHA Defence",1 Kanal,5,6,7.3 Crore
Brand New House For Sale G13 Islamabad,"G-13, Islamabad",4 Marla,4,5,3.4 Crore
4 Marla Brand New Most Beautiful House Available For Sale D-12 In Islamabad,"D-12, Islamabad",4 Marla,3,5,3.9 Crore
4 Marla Triple Story Most Beautiful Margalla Facing House Available For Sale D-12 In Islamabad,"D-12, Islamabad",4 Marla,5,6,4.25 Crore
4 Marla Brand New First Entry House Available For Sale D-12 In Islamabad,"D-12, Islamabad",5 Marla,4,5,4.25 Crore
4 Marla Brand New Designer House Available For Sale D-12 In Islamabad,"D-12, Islamabad",4 Marla,4,5,4.5 Crore
4 Marla Brand New Proper Corner With Extra Land House Available For Sale D-12 In Islamabad,"D-12, Islamabad",4 Marla,4,5,4.75 Crore
12 Marla Brand New Double Storey House Is Available For Sale In G-15 Islamabad,"G-15, Islamabad",12 Marla,6,,4.6 Crore
7marla Brand New House in Gulberg,"Gulberg Residencia - Block F, Gulberg Residencia",7 Marla,5,6,4.5 Crore
swimming pool brand new triple storey with gym elevator theatre room and a lot more,"D-12, Islamabad",1.2 Kanal,8,,27 Crore
Your Search For House In Islamabad Ends Here,"Bahria Garden City - Zone 1, Bahria Garden City",2 Kanal,5,6,13 Crore
Ideally Located House Of 2800 Square Feet Is Available For sale In Islamabad,"Margalla View Housing Society, D-17",12.4 Marla,5,8,4.6 Crore
11 Marla Brand New House Is Available For Sale In Dha 02 Islamabad,"DHA Defence Phase 2, DHA Defence",11 Marla,5,6,5 Crore
8 Marla House In MPCHS - Multi Gardens Best Option,"MPCHS - Multi Gardens, B-17",8 Marla,4,6,2.6 Crore
University Town Islamabad 10 Marla House For Sale,"University Town, Islamabad",10 Marla,3,3,1.6 Crore
3 side corner House,"G-15/1, G-15",8 Marla,6,6,3.5 Crore
5 Kanal Beautiful House Available For Sale On Hot Location,"Bani Gala, Islamabad",5 Kanal,11,6,45 Crore
Elegant 1 kanal House For Sale,"DHA Defence Phase 2, DHA Defence",1 Kanal,6,6,11.7 Crore
Stylish Double Unit House for Sale in G14 at Reasonable Rate,"G-13, Islamabad",14 Marla,6,6,9 Crore
25x40 Brand New 2nd To Corner House Available For Sale In G13/4 Islamabad,"G-13/4, G-13",4 Marla,4,5,3.3 Crore
Top City 1 Beautiful House For Sale In A Block,"Top City 1 - Block A, Top City 1",10 Marla,6,6,3.6 Crore
7 marla brand new house for sale,"Soan Garden, Islamabad",7 Marla,5,6,3.25 Crore
Bahria Enclave Sector C1 10 Marla House available for Sale,"Bahria Enclave - Sector C1, Bahria Enclave",10 Marla,5,6,4.5 Crore
Sector N 5 Marla House For Sale In Bahria Enclave Islamabad.,"Bahria Enclave - Sector N, Bahria Enclave",5 Marla,3,4,2.2 Crore
5 Marla Brand New Luxury House On 70 Feet Road Available For Sale D-12 In Islamabad,"D-12, Islamabad",5 Marla,4,5,5.5 Crore
14 Marla Brand New Triple Story House On Main Double Road Available For Sale D-12 In Islamabad,"D-12, Islamabad",14 Marla,10,,15 Crore
5 Marla Double Story Beautiful Margalla Facing Open Front House Available For Sale D-12 In Islamabad,"D-12, Islamabad",5 Marla,5,6,5.1 Crore
4 Marla Brand New Owner Has Build House Available For Sale D-12 In Islamabad,"D-12, Islamabad",4 Marla,3,4,4.5 Crore
Elegant Design 1 Kanal Bungalow Up For Sale,"DHA Defence Phase 2, DHA Defence",1 Kanal,5,6,8.75 Crore
Auspicious Design 1 Kanal House On Prime Location For Sale,"DHA Defence Phase 2, DHA Defence",1 Kanal,6,6,8.75 Crore
Auspicious Design 1 Kanal House On Prime Location For Sale,"DHA Defence Phase 2, DHA Defence",1 Kanal,6,6,9.9 Crore
Elegant Design 1 Kanal Boulevard Corner Triple Unit Bungalow Available For Sale,"DHA Defence Phase 2, DHA Defence",1 Kanal,8,6,9 Crore
G13 brand new house for sale,"G-13, Islamabad",10 Marla,6,6,7.25 Crore
This Is Your Chance To Buy House In DHA Defence Phase 2,"DHA Defence Phase 2, DHA Defence",1 Kanal,6,6,11.75 Crore
Buy A Centrally Located Corner 1 Kanal House In DHA Phase 2 - Sector D,"DHA Phase 2 - Sector D, DHA Defence Phase 2",1 Kanal,7,8,9.3 Crore
Reserve A Facing Park House Now In DHA Phase 2 - Sector B,"DHA Phase 2 - Sector B, DHA Defence Phase 2",1 Kanal,6,6,6.63 Crore
House Of 3200 Square Feet Is Available For sale,"G-9/1, G-9",14.2 Marla,6,6,8.9 Crore
Engineers International Offers Brand New Corner 01 Kanal House For Sale Near Giga Mall Dha Phase 2 Islamabad,"DHA Phase 2 - Sector F, DHA Defence Phase 2",1 Kanal,6,6,8.5 Crore
Engineers International Offers Luxurious Brand New Park Facing 06 Bed 01 Kanal House For Sale In Sector A Dha Phase 2 Il,"DHA Phase 2 - Sector A, DHA Defence Phase 2",1 Kanal,6,6,10.5 Crore
